pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-5654720	PI-3K cascade:FGFR4	CD44	16	163	0.1385	-0.2	0.3385	0.9174499231699196	0.9958970300880995	False
R-HSA-77588	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	CD44	8	171	0.1362	-0.2	0.3362	0.9481233718181906	0.9958970300880995	False
R-HSA-912694	Regulation of IFNA/IFNB signaling	CD44	22	157	-0.1932	-0.1808	-0.0124	0.8899324394753176	0.9958970300880995	False
R-HSA-8934593	Regulation of RUNX1 Expression and Activity	CHI3L1	26	153	-0.3066	0.1726	-0.4792	0.5819009038255353	0.9958970300880995	False
R-HSA-8934593	Regulation of RUNX1 Expression and Activity	CD44	26	153	-0.1932	-0.1808	-0.0124	0.9168592355959881	0.9958970300880995	False
R-HSA-5654706	FRS-mediated FGFR3 signaling	CHI3L1	16	163	-0.3066	0.1726	-0.4792	0.5937566960697525	0.9958970300880995	False
R-HSA-5654706	FRS-mediated FGFR3 signaling	CD44	16	163	0.1385	-0.2	0.3385	0.9174499231699196	0.9958970300880995	False
R-HSA-9927353	Co-inhibition by BTLA	CHI3L1	16	163	-0.3066	0.1726	-0.4792	0.5937566960697525	0.9958970300880995	False
R-HSA-9927353	Co-inhibition by BTLA	CD44	16	163	0.1385	-0.2	0.3385	0.9174499231699196	0.9958970300880995	False
R-HSA-432142	Platelet sensitization by LDL	CHI3L1	25	154	-0.4048	0.303	-0.7078	0.5148942056044817	0.9958970300880995	False
R-HSA-432142	Platelet sensitization by LDL	CD44	25	154	0.135	-0.2248	0.3598	0.624879150846561	0.9958970300880995	False
